dataset,model,seed,status,train_positive,train_negative,pos_weight,decision_threshold,fraction_test_predicted_positive,best_epoch,best_validation_loss,input_features,sequence_length,uses_padding_mask,validation_probability_min,validation_probability_p10,validation_probability_median,validation_probability_p90,validation_probability_max,validation_probability_mean,test_probability_min,test_probability_p10,test_probability_median,test_probability_p90,test_probability_max,test_probability_mean,class_weight
synth_sea_gradual,TRANSFORMER,11,trained_and_restored,30,317,10.566666666666666,0.6,0.01680672268907563,1.0,1.2403458226628665,11.0,10.0,False,0.2451232522726059,0.2914914071559906,0.38971030712127686,0.5126933932304383,0.6400705575942993,0.40080758929252625,0.2367083877325058,0.31745206713676455,0.40564024448394775,0.49673908948898315,0.6049918532371521,0.4096719026565552,
synth_sea_gradual,TRANSFORMER,22,trained_and_restored,30,317,10.566666666666666,0.2,0.9747899159663865,3.0,1.5004259678496032,11.0,10.0,False,0.159515842795372,0.21117425560951233,0.31385287642478943,0.42553808093070983,0.4734642803668976,0.3183075785636902,0.1837785392999649,0.24098983108997346,0.34220901131629944,0.42890535593032836,0.47019827365875244,0.3355068266391754,
synth_sea_gradual,TRANSFORMER,33,trained_and_restored,30,317,10.566666666666666,0.35,0.33613445378151263,1.0,1.3771564539741068,11.0,10.0,False,0.151479110121727,0.22584872841835021,0.31141188740730286,0.3905955493450165,0.4539756774902344,0.3098274767398834,0.16323861479759216,0.2434707224369049,0.31976646184921265,0.39120509624481203,0.5148003697395325,0.32047247886657715,
synth_sea_gradual,LSTM,11,trained_and_restored,30,317,10.566666666666666,0.44999999999999996,1.0,1.0,1.2510141765370089,11.0,10.0,False,0.4657317101955414,0.47857206463813784,0.4882511496543884,0.5070420503616333,0.5123518109321594,0.48951226472854614,0.46705397963523865,0.47481234073638917,0.4886167645454407,0.5032151579856873,0.5203031301498413,0.48914408683776855,
synth_sea_gradual,LSTM,22,trained_and_restored,30,317,10.566666666666666,0.44999999999999996,0.9747899159663865,1.0,1.2598032450475614,11.0,10.0,False,0.44686782360076904,0.45699562430381774,0.4690552353858948,0.48922311663627627,0.5215871930122375,0.4719638526439667,0.4473060667514801,0.45887482166290283,0.46847066283226013,0.4897472083568573,0.5265856981277466,0.47146981954574585,
synth_sea_gradual,LSTM,33,trained_and_restored,30,317,10.566666666666666,0.44999999999999996,1.0,1.0,1.2811685890710653,11.0,10.0,False,0.492133766412735,0.5062973976135254,0.5236729383468628,0.5416956543922424,0.5540717840194702,0.5236684083938599,0.49731913208961487,0.5097921013832092,0.5244246125221252,0.5405772924423218,0.5553126335144043,0.5246787071228027,
synth_sea_gradual,LOGISTIC REGRESSION,11,trained_and_restored,30,317,,0.15,1.0,,,11.0,1.0,False,0.1696309061457839,0.3164122010316439,0.4674765009930377,0.639704244765047,0.7584490684369208,0.4746279353202875,0.2516260583713132,0.35357938092990465,0.5181429529204004,0.6485335186779555,0.7877850789844576,0.5043608399259726,balanced
synth_sea_gradual,LOGISTIC REGRESSION,22,trained_and_restored,30,317,,0.15,1.0,,,11.0,1.0,False,0.1696309061457839,0.3164122010316439,0.4674765009930377,0.639704244765047,0.7584490684369208,0.4746279353202875,0.2516260583713132,0.35357938092990465,0.5181429529204004,0.6485335186779555,0.7877850789844576,0.5043608399259726,balanced
synth_sea_gradual,LOGISTIC REGRESSION,33,trained_and_restored,30,317,,0.15,1.0,,,11.0,1.0,False,0.1696309061457839,0.3164122010316439,0.4674765009930377,0.639704244765047,0.7584490684369208,0.4746279353202875,0.2516260583713132,0.35357938092990465,0.5181429529204004,0.6485335186779555,0.7877850789844576,0.5043608399259726,balanced
insects_abrupt_balanced,GRU,11,trained_and_restored,10,558,55.8,0.39999999999999997,0.43174603174603177,1.0,2.087797192833092,101.0,10.0,False,0.2993012070655823,0.3563572376966476,0.40278831124305725,0.4688929378986359,0.532666802406311,0.40489017963409424,0.26707905530929565,0.32975965142250063,0.3893110454082489,0.4717918932437897,0.611023485660553,0.39670684933662415,
insects_abrupt_balanced,GRU,22,trained_and_restored,10,558,55.8,0.49999999999999994,0.10476190476190476,1.0,2.1145610990403574,101.0,10.0,False,0.2661163806915283,0.3034051448106766,0.3596368730068207,0.4387791305780412,0.5301190614700317,0.36814621090888977,0.24479971826076508,0.3297990024089813,0.4108205735683441,0.5027294158935547,0.6699888110160828,0.414521187543869,
insects_abrupt_balanced,GRU,33,trained_and_restored,10,558,55.8,0.44999999999999996,0.1619047619047619,1.0,2.1620617112781426,101.0,10.0,False,0.27327635884284973,0.3112317889928818,0.37294089794158936,0.43083405494689947,0.5001101493835449,0.37089216709136963,0.2820800244808197,0.3258050739765167,0.3888741433620453,0.46768959760665896,0.5498789548873901,0.3946482837200165,
insects_abrupt_balanced,TRANSFORMER,11,trained_and_restored,10,558,55.8,0.2,0.0,1.0,5.515048658074457,101.0,10.0,False,0.025808099657297134,0.029264083318412303,0.03313293308019638,0.04408920034766197,0.23569543659687042,0.038680560886859894,0.027361737564206123,0.030889154598116874,0.03654162213206291,0.05893930643796921,0.1860383301973343,0.04302625730633736,
insects_abrupt_balanced,TRANSFORMER,22,trained_and_restored,10,558,55.8,0.35,0.006349206349206349,1.0,4.970589384436607,101.0,10.0,False,0.0274413600564003,0.031257956847548486,0.03890988603234291,0.06060914620757103,0.3888905942440033,0.04631156846880913,0.02757500670850277,0.03383261039853096,0.042463939636945724,0.06872865408658983,0.45454883575439453,0.05168283358216286,
insects_abrupt_balanced,TRANSFORMER,33,trained_and_restored,10,558,55.8,0.3,0.0,1.0,5.596940772513611,101.0,10.0,False,0.020354852080345154,0.023526468873023988,0.02672727219760418,0.034432110190391545,0.3193402588367462,0.0314318872988224,0.02191891148686409,0.02429705746471882,0.029088452458381653,0.044302068650722524,0.20064745843410492,0.0340707004070282,
insects_abrupt_balanced,LSTM,11,trained_and_restored,10,558,55.8,0.44999999999999996,0.16825396825396827,1.0,1.9571668747105175,101.0,10.0,False,0.3670201003551483,0.39575191140174865,0.42206627130508423,0.46017274260520935,0.541100263595581,0.4251983165740967,0.3567240536212921,0.39184818863868714,0.4206200838088989,0.4606432497501373,0.5246986150741577,0.42418915033340454,
insects_abrupt_balanced,LSTM,22,trained_and_restored,10,558,55.8,0.49999999999999994,0.012698412698412698,1.0,1.97275817922399,101.0,10.0,False,0.3649004101753235,0.39358229637145997,0.42751406133174896,0.460493153333664,0.5426208972930908,0.4276736378669739,0.35767504572868347,0.4039914131164551,0.44022905826568604,0.4711458504199982,0.5390146970748901,0.43984970450401306,
insects_abrupt_balanced,LSTM,33,trained_and_restored,10,558,55.8,0.44999999999999996,0.3523809523809524,1.0,1.9729892385156849,101.0,10.0,False,0.35453084111213684,0.3929116576910019,0.4252098947763443,0.4661892265081406,0.5106939673423767,0.42676255106925964,0.3634270131587982,0.40892425179481506,0.4382644593715668,0.4807011306285858,0.5825018286705017,0.4421360492706299,
insects_abrupt_balanced,LOGISTIC REGRESSION,11,trained_and_restored,10,558,,0.5499999999999999,0.06666666666666667,,,101.0,1.0,False,4.279201468191948e-07,5.205004128946042e-05,0.011039590986697212,0.3834332815061678,0.990421093884468,0.10465053958038063,3.554465514850262e-08,2.494531333637667e-05,0.002960360646306071,0.25206665969071784,0.9995475975817552,0.08789051804790361,balanced
insects_abrupt_balanced,LOGISTIC REGRESSION,22,trained_and_restored,10,558,,0.5499999999999999,0.06666666666666667,,,101.0,1.0,False,4.279201468191948e-07,5.205004128946042e-05,0.011039590986697212,0.3834332815061678,0.990421093884468,0.10465053958038063,3.554465514850262e-08,2.494531333637667e-05,0.002960360646306071,0.25206665969071784,0.9995475975817552,0.08789051804790361,balanced
insects_abrupt_balanced,LOGISTIC REGRESSION,33,trained_and_restored,10,558,,0.5499999999999999,0.06666666666666667,,,101.0,1.0,False,4.279201468191948e-07,5.205004128946042e-05,0.011039590986697212,0.3834332815061678,0.990421093884468,0.10465053958038063,3.554465514850262e-08,2.494531333637667e-05,0.002960360646306071,0.25206665969071784,0.9995475975817552,0.08789051804790361,balanced
elec2,GRU,11,skipped_no_positive_split,0,486,,,,,,,,,,,,,,,,,,,,,
elec2,GRU,22,skipped_no_positive_split,0,486,,,,,,,,,,,,,,,,,,,,,
elec2,GRU,33,skipped_no_positive_split,0,486,,,,,,,,,,,,,,,,,,,,,
elec2,TRANSFORMER,11,skipped_no_positive_split,0,486,,,,,,,,,,,,,,,,,,,,,
elec2,TRANSFORMER,22,skipped_no_positive_split,0,486,,,,,,,,,,,,,,,,,,,,,
elec2,TRANSFORMER,33,skipped_no_positive_split,0,486,,,,,,,,,,,,,,,,,,,,,
elec2,LSTM,11,skipped_no_positive_split,0,486,,,,,,,,,,,,,,,,,,,,,
elec2,LSTM,22,skipped_no_positive_split,0,486,,,,,,,,,,,,,,,,,,,,,
elec2,LSTM,33,skipped_no_positive_split,0,486,,,,,,,,,,,,,,,,,,,,,
elec2,LOGISTIC REGRESSION,11,skipped_no_positive_split,0,486,,,,,,,,,,,,,,,,,,,,,
elec2,LOGISTIC REGRESSION,22,skipped_no_positive_split,0,486,,,,,,,,,,,,,,,,,,,,,
elec2,LOGISTIC REGRESSION,33,skipped_no_positive_split,0,486,,,,,,,,,,,,,,,,,,,,,
