dataset,method,seed,split,truth_quality,evaluation_valid,decision_threshold,precision,recall,f1,roc_auc,pr_auc,accuracy,tn,fp,fn,tp
synth_sea_abrupt,LOGISTIC REGRESSION,22,test,exact,True,0.05,0.09009009009009009,1.0,0.1652892561983471,0.5788990825688073,0.12925067423299297,0.15126050420168066,8.0,101.0,0.0,10.0
synth_sea_abrupt,LOGISTIC REGRESSION,33,test,exact,True,0.05,0.09009009009009009,1.0,0.1652892561983471,0.5788990825688073,0.12925067423299297,0.15126050420168066,8.0,101.0,0.0,10.0
synth_sea_abrupt,ADWIN,-1,test,exact,True,0.5,0.0,0.0,0.0,,,0.8991596638655462,107.0,2.0,10.0,0.0
synth_sea_abrupt,DDM,-1,test,exact,True,0.5,0.0,0.0,0.0,,,0.907563025210084,108.0,1.0,10.0,0.0
synth_sea_abrupt,KSWIN,-1,test,exact,True,0.5,0.0,0.0,0.0,,,0.9159663865546218,109.0,0.0,10.0,0.0
synth_sea_gradual,GRU,11,test,exact,True,0.49999999999999994,0.078125,0.5,0.13513513513513514,0.42752293577981654,0.07885700825680084,0.46218487394957986,50.0,59.0,5.0,5.0
synth_sea_gradual,GRU,22,test,exact,True,0.49999999999999994,0.125,0.2,0.15384615384615385,0.6073394495412844,0.11218740035888329,0.8151260504201681,95.0,14.0,8.0,2.0
synth_sea_gradual,GRU,33,test,exact,True,0.39999999999999997,0.08403361344537816,1.0,0.15503875968992248,0.42844036697247706,0.16996392613709188,0.08403361344537816,0.0,109.0,0.0,10.0
synth_sea_gradual,TRANSFORMER,11,test,exact,True,0.6,0.0,0.0,0.0,0.5954128440366973,0.15204279209758192,0.8991596638655462,107.0,2.0,10.0,0.0
synth_sea_gradual,TRANSFORMER,22,test,exact,True,0.2,0.08620689655172414,1.0,0.15873015873015872,0.42293577981651376,0.10259480463988896,0.1092436974789916,3.0,106.0,0.0,10.0
synth_sea_gradual,TRANSFORMER,33,test,exact,True,0.35,0.125,0.5,0.2,0.6275229357798165,0.1951081032525583,0.6638655462184874,74.0,35.0,5.0,5.0
synth_sea_gradual,LSTM,11,test,exact,True,0.44999999999999996,0.08403361344537816,1.0,0.15503875968992248,0.4678899082568807,0.0806022843107021,0.08403361344537816,0.0,109.0,0.0,10.0
synth_sea_gradual,LSTM,22,test,exact,True,0.44999999999999996,0.07758620689655173,0.9,0.14285714285714285,0.36880733944954125,0.06854704807455925,0.09243697478991597,2.0,107.0,1.0,9.0
synth_sea_gradual,LSTM,33,test,exact,True,0.44999999999999996,0.08403361344537816,1.0,0.15503875968992248,0.41559633027522935,0.08507301279585412,0.08403361344537816,0.0,109.0,0.0,10.0
synth_sea_gradual,LOGISTIC REGRESSION,11,test,exact,True,0.15,0.08403361344537816,1.0,0.15503875968992248,0.4623853211009174,0.0956084827662429,0.08403361344537816,0.0,109.0,0.0,10.0
synth_sea_gradual,LOGISTIC REGRESSION,22,test,exact,True,0.15,0.08403361344537816,1.0,0.15503875968992248,0.4623853211009174,0.0956084827662429,0.08403361344537816,0.0,109.0,0.0,10.0
synth_sea_gradual,LOGISTIC REGRESSION,33,test,exact,True,0.15,0.08403361344537816,1.0,0.15503875968992248,0.4623853211009174,0.0956084827662429,0.08403361344537816,0.0,109.0,0.0,10.0
synth_sea_gradual,ADWIN,-1,test,exact,True,0.5,0.0,0.0,0.0,,,0.8991596638655462,107.0,2.0,10.0,0.0
synth_sea_gradual,DDM,-1,test,exact,True,0.5,0.0,0.0,0.0,,,0.907563025210084,108.0,1.0,10.0,0.0
synth_sea_gradual,KSWIN,-1,test,exact,True,0.5,0.0,0.0,0.0,,,0.9159663865546218,109.0,0.0,10.0,0.0
insects_abrupt_balanced,GRU,11,test,published_instance_positions_mapped_to_batches,True,0.39999999999999997,0.04411764705882353,0.6,0.0821917808219178,0.6144262295081967,0.06864559535950923,0.5746031746031746,175.0,130.0,4.0,6.0
insects_abrupt_balanced,GRU,22,test,published_instance_positions_mapped_to_batches,True,0.49999999999999994,0.030303030303030304,0.1,0.046511627906976744,0.48721311475409834,0.0379149846413627,0.8698412698412699,273.0,32.0,9.0,1.0
insects_abrupt_balanced,GRU,33,test,published_instance_positions_mapped_to_batches,True,0.44999999999999996,0.0196078431372549,0.1,0.03278688524590164,0.44393442622950824,0.033931555894088486,0.8126984126984127,255.0,50.0,9.0,1.0
insects_abrupt_balanced,TRANSFORMER,11,test,published_instance_positions_mapped_to_batches,True,0.2,0.0,0.0,0.0,0.36032786885245904,0.025703942912524553,0.9682539682539683,305.0,0.0,10.0,0.0
insects_abrupt_balanced,TRANSFORMER,22,test,published_instance_positions_mapped_to_batches,True,0.35,0.0,0.0,0.0,0.25868852459016395,0.022172449152840973,0.9619047619047619,303.0,2.0,10.0,0.0
insects_abrupt_balanced,TRANSFORMER,33,test,published_instance_positions_mapped_to_batches,True,0.3,0.0,0.0,0.0,0.3409836065573771,0.027515395747446852,0.9682539682539683,305.0,0.0,10.0,0.0
insects_abrupt_balanced,LSTM,11,test,published_instance_positions_mapped_to_batches,True,0.44999999999999996,0.05660377358490566,0.3,0.09523809523809523,0.7042622950819672,0.062387071176353164,0.819047619047619,255.0,50.0,7.0,3.0
insects_abrupt_balanced,LSTM,22,test,published_instance_positions_mapped_to_batches,True,0.49999999999999994,0.0,0.0,0.0,0.6104918032786886,0.06863483180540185,0.9555555555555556,301.0,4.0,10.0,0.0
insects_abrupt_balanced,LSTM,33,test,published_instance_positions_mapped_to_batches,True,0.44999999999999996,0.04504504504504504,0.5,0.08264462809917356,0.6140983606557378,0.09279677687172413,0.6476190476190476,199.0,106.0,5.0,5.0
insects_abrupt_balanced,LOGISTIC REGRESSION,11,test,published_instance_positions_mapped_to_batches,True,0.5499999999999999,0.0,0.0,0.0,0.661967213114754,0.047871572989270306,0.9015873015873016,284.0,21.0,10.0,0.0
insects_abrupt_balanced,LOGISTIC REGRESSION,22,test,published_instance_positions_mapped_to_batches,True,0.5499999999999999,0.0,0.0,0.0,0.661967213114754,0.047871572989270306,0.9015873015873016,284.0,21.0,10.0,0.0
insects_abrupt_balanced,LOGISTIC REGRESSION,33,test,published_instance_positions_mapped_to_batches,True,0.5499999999999999,0.0,0.0,0.0,0.661967213114754,0.047871572989270306,0.9015873015873016,284.0,21.0,10.0,0.0
insects_abrupt_balanced,ADWIN,-1,test,published_instance_positions_mapped_to_batches,True,0.5,0.125,0.1,0.1111111111111111,,,0.9492063492063492,298.0,7.0,9.0,1.0
insects_abrupt_balanced,DDM,-1,test,published_instance_positions_mapped_to_batches,True,0.5,0.3333333333333333,0.1,0.15384615384615385,,,0.9650793650793651,303.0,2.0,9.0,1.0
insects_abrupt_balanced,KSWIN,-1,test,published_instance_positions_mapped_to_batches,True,0.5,0.0,0.0,0.0,,,0.9428571428571428,297.0,8.0,10.0,0.0
elec2,GRU,11,test,unavailable,False,,,,,,,,,,,
elec2,GRU,22,test,unavailable,False,,,,,,,,,,,
elec2,GRU,33,test,unavailable,False,,,,,,,,,,,
elec2,TRANSFORMER,11,test,unavailable,False,,,,,,,,,,,
elec2,TRANSFORMER,22,test,unavailable,False,,,,,,,,,,,
elec2,TRANSFORMER,33,test,unavailable,False,,,,,,,,,,,
elec2,LSTM,11,test,unavailable,False,,,,,,,,,,,
elec2,LSTM,22,test,unavailable,False,,,,,,,,,,,
elec2,LSTM,33,test,unavailable,False,,,,,,,,,,,
elec2,LOGISTIC REGRESSION,11,test,unavailable,False,,,,,,,,,,,
elec2,LOGISTIC REGRESSION,22,test,unavailable,False,,,,,,,,,,,
elec2,LOGISTIC REGRESSION,33,test,unavailable,False,,,,,,,,,,,
elec2,ADWIN,-1,test,unavailable,False,0.5,,,,,,,,,,
elec2,DDM,-1,test,unavailable,False,0.5,,,,,,,,,,
elec2,KSWIN,-1,test,unavailable,False,0.5,,,,,,,,,,
