dataset,model,seed,threshold,mean_lead_time,median_lead_time,std_lead_time,detection_coverage,missed_drift_rate,batch_far,event_far,alert_episodes,false_alert_episodes,drift_events,detected_events,eligible_batches,false_batch_alerts,lead_time_sum,evaluated_batches,total_adaptations,adaptations_per_100_batches,false_adaptations,true_event_related_adaptations,adaptation_precision
synth_sea_abrupt,GRU,33,0.7999999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,GRU,33,0.85,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,GRU,33,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,GRU,33,0.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.25,0.0,0.0,0.0,0.0,1.0,0.9908256880733946,1.0,1,1,2,0,109,108,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.3,0.0,0.0,0.0,0.0,1.0,0.8990825688073395,1.0,1,1,2,0,109,98,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.35,0.0,0.0,0.0,0.0,1.0,0.6880733944954128,1.0,1,1,2,0,109,75,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.39999999999999997,0.0,0.0,0.0,0.0,1.0,0.48623853211009177,1.0,3,3,2,0,109,53,0,119,3,2.5210084033613445,3,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.44999999999999996,0.0,0.0,0.0,0.0,1.0,0.3302752293577982,1.0,5,5,2,0,109,36,0,119,5,4.201680672268908,5,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.49999999999999994,5.0,5.0,0.0,0.5,0.5,0.10091743119266056,0.9,10,9,2,1,109,11,5,119,10,8.403361344537815,9,1,0.1
synth_sea_abrupt,TRANSFORMER,11,0.5499999999999999,0.0,0.0,0.0,0.0,1.0,0.01834862385321101,1.0,2,2,2,0,109,2,0,119,2,1.680672268907563,2,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.6,0.0,0.0,0.0,0.0,1.0,0.009174311926605505,1.0,1,1,2,0,109,1,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,TRANSFORMER,11,0.7999999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
